"","address","price","area","floor","allfloor","livingroom","bathroom","bedroom"
"239","安和路二段時尚風格,書香菁華..",46000,25.6,5,7,2,1,2
"240","敦化南路一段161巷玉樹臨風,..",70000,52.2,3,7,2,2,4
"241","敦化南路一段◎名人巷仁愛圓環..",85000,91.5,7,7,2,3,5
"242","和平東路三段◎風光旖旎◎景觀..",89000,78.6,17,19,2,2,3
"243","新生南路一段寧靜美宅,鳥語花..",52000,43.1,6,7,2,2,3
"244","建國南路一段◎潔白純淨◎鄉村..",65000,37.8,10,13,2,2,3
"245","安和路一段萬眾矚目,無與倫比..",59000,49.4,4,16,2,2,4
"246","建國南路一段杏雨梨雲,風清月..",120000,71,1,5,3,3,4
"247","和平東路三段◎MRT景觀宅◎仕..",119990,80.9,15,19,2,3,3
"248","敦化南路二段◎品味非凡◎全新..",89000,50,7,7,3,3,3
"249","信義路二段近東門站<U+10E6>永康街<U+10E6>..",85000,51.4,14,14,2,2,3
"250","光復南路國館捷運旁~電梯四房..",37000,38.7,4,7,2,2,4
"251","信義路四段大安捷運大空間雙主..",78000,60.6,12,17,2,3,4
"252","樂業街六張犁捷運溫馨典雅裝潢..",66000,56.5,4,13,2,2,3
"253","和平東路三段六張犁捷運近敦化..",60000,58.7,8,19,2,2,3
"254","信義路四段捷運大安站旁<U+2611>雙主..",78000,60.6,12,17,2,3,4
"255","和平東路一段森林公園之家邊間..",43000,41.7,7,12,2,2,4
"256","建國南路一段近捷運大安森林公..",34000,18.5,6,12,1,1,2
"257","忠孝東路三段近捷運忠孝復興，..",55000,37.7,14,14,2,2,3
"258","信義路三段147巷近捷運大安站..",63000,41.3,6,7,2,2,5
"259","新生南路一段103巷捷運忠孝新..",52000,43.1,6,7,2,2,3
"260","忠孝東路四段77巷璞真座全新二..",54000,25.5,4,10,1,1,2
"261","通安街信義安和站1分鐘~3年新..",50000,29.2,8,9,2,2,2
"262","忠孝東路四段170巷忠孝東路四..",75000,48,5,10,2,2,4
"263","師大路105巷師大夜市美美二房",30000,19.5,6,10,1,1,2
"264","瑞安街208巷捷運大安站優質二..",34000,29.6,4,7,2,2,2
