Date,Open,High,Low,Close,Adj Close,Volume
2017-10-06,225.000000,225.500000,223.500000,224.500000,224.500000,15642516
2017-10-11,224.500000,233.500000,224.500000,233.000000,233.000000,63667562
2017-10-12,235.000000,237.500000,234.500000,237.500000,237.500000,42390186
2017-10-13,237.500000,237.500000,234.500000,237.500000,237.500000,23145071
2017-10-16,237.500000,238.000000,236.000000,238.000000,238.000000,19964072
2017-10-17,238.000000,238.000000,235.000000,235.500000,235.500000,17652304
2017-10-18,239.500000,239.500000,237.000000,237.500000,237.500000,28886850
2017-10-19,239.500000,241.500000,239.000000,239.000000,239.000000,23481776
2017-10-20,238.000000,239.500000,237.500000,237.500000,237.500000,24722035
2017-10-23,239.000000,240.000000,238.500000,239.000000,239.000000,15772559
2017-10-24,240.000000,240.000000,238.000000,238.000000,238.000000,14975093
2017-10-25,238.500000,239.000000,237.500000,238.000000,238.000000,16880187
2017-10-26,237.000000,238.000000,236.000000,236.000000,236.000000,12959717
2017-10-27,237.500000,240.000000,237.500000,239.000000,239.000000,17773541
2017-10-30,242.000000,245.000000,241.500000,243.000000,243.000000,27784990
2017-10-31,243.500000,245.000000,241.500000,243.000000,243.000000,22582013
2017-11-01,243.500000,245.000000,241.500000,242.500000,242.500000,20389054
2017-11-02,242.000000,242.500000,240.500000,241.000000,241.000000,15810342
2017-11-03,240.500000,241.000000,238.500000,239.000000,239.000000,16528682
2017-11-06,243.500000,244.000000,239.000000,239.500000,239.500000,21029415
